Autor,Año,Vitrina,
Puentes levadizos,Pedro Lastra,Poesía,
Con lágrimas en los anteojos,"Pérez, Floridor",Poesía,
XXXIII poemas,"Romero, Juan Cristobal ",Poesía,
Caudal,"Rubio, Rafael",Poesía,
Contraluz,"Silva Acevedo, Manuel ",Poesía,
Con arrimo y sin arrimo,"Rojas, Gonzalo",Poesía,
La tregua,"Benedetti, Mario",Narrativa,
Polvos rosados,"Quisbert, Markos ",Poesía,
Tres terroristas,"Lafourcade, Enrique",Narrativa,
Aceites,"Baeza Henríquez, Antonio ",Poesía,
Todo se derrumbó: Relatos sobre el desastre,Varios autores,Narrativa,
La invención de morel,"Bioy Casares, Adolfo",Narrativa,
Caza propia (crónicas),"Jáuregui, Eloy",Narrativa,
¡Que lindo canta Palmenia!,"León Smith, Silvia; Enríquez Saá, Ricardo",Narrativa,
Corazón de weichán: Historias de vida y resistencia de mujeres mapuche,"Rojas Neculhuán, Carolina ",Narrativa,
Todo lo que duerme en nuestro corazón desembocará un día en el mar,"Herrera Alarcón, Ricardo ",Poesía,
El cuento hispanoamericano: Antología crítico-histórico,"Menton, Seymour",Narrativa,
La librería ,"Fitzgerald, Penélope ",Narrativa,
Neruda la biografía literaria,"Loyola, Hernán",Novela,
El washington del sur: cuadros de la vida del mariscal Antonio Jose de Sucre,"Vicuña Mackenna, Benjamín",Historia,
State of fear,"Crichton, Michael",Narrativa,
Popol Vudú: nómade en Chile,"Morales, Roberto",Poesía,
Larva y otras noches de Babel,"Ríos, Julián",Narrativa,
Los villanos de la nación: letras de política y sociedad,"Marías, Javier",Ensayo,
La muerte de Artemio Cruz,"Fuentes, Carlos",Narrativa,
La silla del águila,"Fuentes, Carlos",Narrativa,
"Profecía, asedios y apocalípsis ","Goytisolo, Juan",Narrativa,
Esplendor,"Henrickson, Carlos",Poesía,
Soldados perdidos ,"Cabrera Olea, Alejandro ",Narrativa,
La colmena,"Cela, Camilo José",Narrativa,
Barragán,"Oyarzún Díaz, Pavel",Narrativa,
Cien díaz,"Barfuss, Lukas ",Narrativa,
Lloviznan,"Comis, Luis",Poesía,
De ahí no más: poesía actual de Centroamérica y del Caribe,"Berger, Timo",Poesía,
Lexiones de romanticismo alemán,"Surghi, Carlos",Poesía,
El jazzista,"Acuña Lang, Felipe",Narrativa,
